,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
28,Orco -/- vs. Orco +/+ va3,0.7857142857142857,1.0,-0.34792330342030686,0.0
29,Orco -/- vs. Orco +/+ va4,3.0,0.32053173019615966,1.584962500721156,1.137774005349699
30,Orco -/- vs. Orco +/+ va5,1.4,0.368805781512344,0.48542682717024166,0.9974851108706653
31,Orco -/- vs. Orco +/+ va6,0.5454545454545454,0.6051325165466694,-0.8744691179161412,0.5023078093217638
32,Orco -/- vs. Orco +/+ va7l,0.5,0.69502723516159,-1.0,0.3638042469022831
33,Orco -/- vs. Orco +/+ va7m,1.3333333333333333,0.6997924346121904,0.41503749927884376,0.3569715098926531
34,Orco -/- vs. Orco +/+ vc1,0.6,1.0,-0.7369655941662062,0.0
35,Orco -/- vs. Orco +/+ vc2,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
36,Orco -/- vs. Orco +/+ vc3l,0.7,1.0,-0.5145731728297583,0.0
37,Orco -/- vs. Orco +/+ vc3m,0.5,0.69502723516159,-1.0,0.3638042469022831
38,Orco -/- vs. Orco +/+ vc4,0.5,0.69502723516159,-1.0,0.3638042469022831
39,Orco -/- vs. Orco +/+ vc5,5.0,0.08729399179631082,2.321928094887362,2.438473640998533
40,Orco -/- vs. Orco +/+ vl1,0.5,1.0,-1.0,0.0
41,Orco -/- vs. Orco +/+ vl2a,1.75,0.21418729369777584,0.8073549220576041,1.540904442532946
42,Orco -/- vs. Orco +/+ vl2p,2.2,0.05939746576446647,1.1375035237499351,2.8235037174215387
43,Orco -/- vs. Orco +/+ vm1,0.6,1.0,-0.7369655941662062,0.0
44,Orco -/- vs. Orco +/+ vm2,1.125,0.448874795821822,0.16992500144231237,0.8010112813024441
45,Orco -/- vs. Orco +/+ vm3,1.6666666666666667,0.3009152498311844,0.7369655941662062,1.200926615901933
46,Orco -/- vs. Orco +/+ vm4,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
47,Orco -/- vs. Orco +/+ vm5d,1.0,0.7495119475538927,0.0,0.28833302086754664
48,Orco -/- vs. Orco +/+ vm5v,0.6,1.0,-0.7369655941662062,0.0
49,Orco -/- vs. Orco +/+ vm7d,0.25,0.3848824855536265,-2.0,0.9548172236154642
50,Orco -/- vs. Orco +/+ vm7v,0.5,0.69502723516159,-1.0,0.3638042469022831
51,Orco -/- vs. Orco +/+ shuffle d,0.6666666666666666,1.0,-0.5849625007211563,0.0
52,Orco -/- vs. Orco +/+ shuffle da1,1.4,0.368805781512344,0.48542682717024166,0.9974851108706653
53,Orco -/- vs. Orco +/+ shuffle da2,1.0,1.0,0.0,0.0
54,Orco -/- vs. Orco +/+ shuffle da3,0.14285714285714285,0.07869099027411569,-2.807354922057604,2.542226612016835
55,Orco -/- vs. Orco +/+ shuffle da4l,0.0,0.01804821360530497,-inf,4.014708568336207
56,Orco -/- vs. Orco +/+ shuffle da4m,0.0,0.13080873778860355,-inf,2.034019039525073
57,Orco -/- vs. Orco +/+ shuffle dc1,1.25,0.32061663329287315,0.32192809488736235,1.1375091583905714
58,Orco -/- vs. Orco +/+ shuffle dc2,1.6666666666666667,0.3009152498311844,0.7369655941662062,1.200926615901933
59,Orco -/- vs. Orco +/+ shuffle dc3,0.4444444444444444,0.3893374134620911,-1.1699250014423124,0.9433089245342187
60,Orco -/- vs. Orco +/+ shuffle dc4,1.25,0.507509385492036,0.32192809488736235,0.6782400746568324
61,Orco -/- vs. Orco +/+ shuffle dl1,0.5,0.69502723516159,-1.0,0.3638042469022831
62,Orco -/- vs. Orco +/+ shuffle dl2d,1.3333333333333333,0.6997924346121904,0.41503749927884376,0.3569715098926531
63,Orco -/- vs. Orco +/+ shuffle dl2v,0.8,1.0,-0.3219280948873623,0.0
64,Orco -/- vs. Orco +/+ shuffle dl3,0.16666666666666666,0.13521509043638943,-2.584962500721156,2.000888505948069
65,Orco -/- vs. Orco +/+ shuffle dl4,0.0,0.13080873778860355,-inf,2.034019039525073
66,Orco -/- vs. Orco +/+ shuffle dl5,1.3333333333333333,0.6997924346121904,0.41503749927884376,0.3569715098926531
67,Orco -/- vs. Orco +/+ shuffle dm1,0.625,0.7751570836334015,-0.6780719051126377,0.25468958160811306
68,Orco -/- vs. Orco +/+ shuffle dm2,1.6666666666666667,0.3009152498311844,0.7369655941662062,1.200926615901933
69,Orco -/- vs. Orco +/+ shuffle dm3,0.6666666666666666,1.0,-0.5849625007211563,0.0
70,Orco -/- vs. Orco +/+ shuffle dm4,0.5,1.0,-1.0,0.0
71,Orco -/- vs. Orco +/+ shuffle dm5,0.4444444444444444,0.3893374134620911,-1.1699250014423124,0.9433089245342187
72,Orco -/- vs. Orco +/+ shuffle dm6,0.8,1.0,-0.3219280948873623,0.0
73,Orco -/- vs. Orco +/+ shuffle dp1l,1.3333333333333333,0.3982194271531163,0.41503749927884376,0.9207521011159002
74,Orco -/- vs. Orco +/+ shuffle dp1m,1.4285714285714286,0.2059693655599119,0.5145731728297582,1.5800278321253285
75,Orco -/- vs. Orco +/+ shuffle v,0.5,1.0,-1.0,0.0
76,Orco -/- vs. Orco +/+ shuffle va1d,0.6666666666666666,1.0,-0.5849625007211563,0.0
77,Orco -/- vs. Orco +/+ shuffle va1v,1.0,1.0,0.0,0.0
78,Orco -/- vs. Orco +/+ shuffle va2,1.0,0.7788497592671595,0.0,0.24993711529712276
79,Orco -/- vs. Orco +/+ shuffle va3,2.2,0.05939746576446647,1.1375035237499351,2.8235037174215387
80,Orco -/- vs. Orco +/+ shuffle va4,0.6,1.0,-0.7369655941662062,0.0
81,Orco -/- vs. Orco +/+ shuffle va5,1.0,0.7788497592671595,0.0,0.24993711529712276
82,Orco -/- vs. Orco +/+ shuffle va6,2.0,0.18249143111206584,1.0,1.7010520598725067
83,Orco -/- vs. Orco +/+ shuffle va7l,0.4,0.4662976615327828,-1.3219280948873622,0.7629310901219276
84,Orco -/- vs. Orco +/+ shuffle va7m,1.0,0.7312827386738485,0.0,0.3129551106022226
85,Orco -/- vs. Orco +/+ shuffle vc1,0.6,1.0,-0.7369655941662062,0.0
86,Orco -/- vs. Orco +/+ shuffle vc2,2.5,0.2411419874919255,1.3219280948873624,1.4223693592603979
87,Orco -/- vs. Orco +/+ shuffle vc3l,1.4,0.368805781512344,0.48542682717024166,0.9974851108706653
88,Orco -/- vs. Orco +/+ shuffle vc3m,0.4,0.4662976615327828,-1.3219280948873622,0.7629310901219276
89,Orco -/- vs. Orco +/+ shuffle vc4,0.6666666666666666,1.0,-0.5849625007211563,0.0
90,Orco -/- vs. Orco +/+ shuffle vc5,0.7142857142857143,1.0,-0.4854268271702417,0.0
91,Orco -/- vs. Orco +/+ shuffle vl1,0.3333333333333333,0.6309294913321757,-1.5849625007211563,0.46056116383787754
92,Orco -/- vs. Orco +/+ shuffle vl2a,1.4,0.368805781512344,0.48542682717024166,0.9974851108706653
93,Orco -/- vs. Orco +/+ shuffle vl2p,2.75,0.025778354991764976,1.4594316186372973,3.658220092980825
94,Orco -/- vs. Orco +/+ shuffle vm1,0.75,1.0,-0.4150374992788438,0.0
95,Orco -/- vs. Orco +/+ shuffle vm2,2.25,0.07847026716898459,1.1699250014423124,2.5450354881208264
96,Orco -/- vs. Orco +/+ shuffle vm3,1.25,0.507509385492036,0.32192809488736235,0.6782400746568324
