,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
1455,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va2,1.2222222222222223,0.8107546816562226,0.289506617194985,0.20978975933562174
1456,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va3,0.7777777777777778,0.2862659224371209,-0.36257007938470825,1.2508341014261746
1457,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va4,0.8,0.49185896833048515,-0.3219280948873623,0.7095632533165033
1458,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va5,1.0,0.5760952003034048,0.0,0.5514823536386778
1459,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va6,0.8,0.49185896833048515,-0.3219280948873623,0.7095632533165033
1460,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va7l,1.1428571428571428,0.7853341270384331,0.19264507794239583,0.24164601221913615
1461,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma va7m,1.0,0.47211742649148913,0.0,0.7505275393988273
1462,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc1,0.0,0.001477066658101637,-inf,6.517697145712165
1463,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc2,9.0,0.04695974420834098,3.169925001442312,3.058464550488609
1464,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc3l,1.0,0.7427691712827886,0.0,0.29736995375369024
1465,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc3m,2.2,0.43468391672313866,1.1375035237499351,0.8331361402383632
1466,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc4,1.0,0.5951202607983006,0.0,0.5189917748710576
1467,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vc5,0.8333333333333334,0.5284101473517697,-0.2630344058337938,0.6378825025975238
1468,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vl1,2.5,0.7005592383606003,1.3219280948873624,0.3558763509552951
1469,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vl2a,1.3333333333333333,1.0,0.41503749927884376,0.0
1470,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vl2p,1.75,1.0,0.8073549220576041,0.0
1471,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm1,3.5,0.3077747742870618,1.8073549220576042,1.1783870158186833
1472,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm2,0.25,0.01726702443563135,-2.0,4.05895669838916
1473,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm3,5.0,0.1252167574585195,2.321928094887362,2.077708983757319
1474,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm4,0.625,0.15013067903774294,-0.6780719051126377,1.896249170569798
1475,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm5d,0.8,0.21599244116051342,-0.3219280948873623,1.532511866537551
1476,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm5v,1.1666666666666667,0.7746266759914243,0.22239242133644802,0.25537407408571516
1477,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm7d,2.0,0.7626838160866966,1.0,0.27091172927570584
1478,Orco +/+ alpha/beta shuffle vs. Orco +/+ gamma vm7v,2.5,0.40011742399692435,1.3219280948873624,0.9159972149621478
